2: None
3: None
5: None
7: None
11: None
13: None
17: None
19: None
23: None
29: 1 25 20 | 5 0 24 | 9 4 28
31: None
37: 1 4 7 | 34 0 3 | 30 33 36
41: 1 5 9 | 37 0 4 | 32 36 40
43: None
47: None
797: 1 25 49 | 169 193 217 | 337 361 385
809: 1 25 49 | 32 56 80 | 63 87 111
811: 1 25 49 | 625 649 673 | 438 462 486
821: 1 25 49 | 623 647 671 | 424 448 472
823: 1 25 49 | 36 60 84 | 71 95 119
827: 1 25 49 | 144 168 192 | 287 311 335
829: 1 25 49 | 780 804 828 | 730 754 778
839: 1 25 49 | 289 313 337 | 577 601 625
853: 1 25 49 | 729 753 777 | 604 628 652
857: 1 25 49 | 36 60 84 | 71 95 119
859: 1 25 49 | 9 33 57 | 17 41 65
863: 1 25 49 | 29 53 77 | 57 81 105
877: 1 25 49 | 16 40 64 | 31 55 79
881: 1 25 49 | 324 348 372 | 647 671 695
883: 1 25 49 | 16 40 64 | 31 55 79
887: 1 25 49 | 64 88 112 | 127 151 175
907: 1 25 49 | 462 486 510 | 16 40 64
911: 1 25 49 | 183 207 231 | 365 389 413
919: 1 25 49 | 196 220 244 | 391 415 439
929: 1 25 49 | 529 553 577 | 128 152 176
937: 1 25 49 | 2 26 50 | 3 27 51
941: 1 25 49 | 205 229 253 | 409 433 457
947: 1 25 49 | 16 40 64 | 31 55 79
953: 1 25 49 | 896 920 944 | 838 862 886
967: 1 25 49 | 625 649 673 | 282 306 330
971: 1 25 49 | 459 483 507 | 917 941 965
977: 1 25 49 | 433 457 481 | 865 889 913
983: 1 25 49 | 169 193 217 | 337 361 385
991: 1 25 49 | 121 145 169 | 241 265 289
997: 1 25 49 | 16 40 64 | 31 55 79
1009: 1 25 49 | 841 865 889 | 672 696 720
1013: 1 25 49 | 169 193 217 | 337 361 385
1019: 1 25 49 | 413 437 461 | 825 849 873
1021: 1 25 49 | 196 220 244 | 391 415 439
1031: 1 25 49 | 121 145 169 | 241 265 289
1033: 1 25 49 | 144 168 192 | 287 311 335
1039: 1 25 49 | 841 865 889 | 642 666 690
1049: 1 25 49 | 402 426 450 | 803 827 851
1051: 1 25 49 | 121 145 169 | 241 265 289
1061: 1 25 49 | 169 193 217 | 337 361 385
1063: 1 25 49 | 306 330 354 | 611 635 659
1069: 1 25 49 | 393 417 441 | 785 809 833
1087: 1 25 49 | 9 33 57 | 17 41 65
1091: 1 25 49 | 4 28 52 | 7 31 55
1093: 1 25 49 | 838 862 886 | 582 606 630
1097: 1 25 49 | 9 33 57 | 17 41 65
1103: 1 25 49 | 98 122 146 | 195 219 243
1109: 1 25 49 | 81 105 129 | 161 185 209
1117: 1 25 49 | 4 28 52 | 7 31 55
1123: 1 25 49 | 269 293 317 | 537 561 585
1129: 1 25 49 | 0 24 48 | 1128 23 47
1151: 1 25 49 | 121 145 169 | 241 265 289
1153: 1 25 49 | 0 24 48 | 1152 23 47
1163: 1 25 49 | 144 168 192 | 287 311 335
1171: 1 25 49 | 273 297 321 | 545 569 593
1181: 1 25 49 | 726 750 774 | 270 294 318
1187: 1 25 49 | 121 145 169 | 241 265 289
1193: 1 25 49 | 36 60 84 | 71 95 119
1201: 1 25 49 | 875 899 923 | 548 572 596
1213: 1 25 49 | 225 249 273 | 449 473 497
1217: 1 25 49 | 441 465 489 | 881 905 929
1223: 1 25 49 | 64 88 112 | 127 151 175
1229: 1 25 49 | 1085 1109 1133 | 940 964 988
1231: 1 25 49 | 4 28 52 | 7 31 55
1237: 1 25 49 | 121 145 169 | 241 265 289
1249: 1 25 49 | 576 600 624 | 1151 1175 1199
1259: 1 25 49 | 64 88 112 | 127 151 175
1277: 1 25 49 | 82 106 130 | 163 187 211
1279: 1 25 49 | 1063 1087 1111 | 846 870 894
1283: 1 25 49 | 223 247 271 | 445 469 493
1289: 1 25 49 | 400 424 448 | 799 823 847
1291: 1 25 49 | 324 348 372 | 647 671 695
1297: 1 25 49 | 0 24 48 | 1296 23 47
1301: 1 25 49 | 121 145 169 | 241 265 289
1303: 1 25 49 | 121 145 169 | 241 265 289
1307: 1 25 49 | 361 385 409 | 721 745 769
1319: 1 25 49 | 676 700 724 | 32 56 80
1321: 1 25 49 | 121 145 169 | 241 265 289
1327: 1 25 49 | 169 193 217 | 337 361 385
1361: 1 25 49 | 9 33 57 | 17 41 65
1367: 1 25 49 | 749 773 797 | 130 154 178
1373: 1 25 49 | 625 649 673 | 1249 1273 1297
1381: 1 25 49 | 400 424 448 | 799 823 847
1399: 1 25 49 | 256 280 304 | 511 535 559
1409: 1 25 49 | 544 568 592 | 1087 1111 1135
1423: 1 25 49 | 177 201 225 | 353 377 401
1427: 1 25 49 | 689 713 737 | 1377 1401 1425
1429: 1 25 49 | 36 60 84 | 71 95 119
1433: 1 25 49 | 289 313 337 | 577 601 625
1439: 1 25 49 | 497 521 545 | 993 1017 1041
1447: 1 25 49 | 700 724 748 | 1399 1423 0
1451: 1 25 49 | 688 712 736 | 1375 1399 1423
1453: 1 25 49 | 729 753 777 | 4 28 52
1459: 1 25 49 | 441 465 489 | 881 905 929
1471: 1 25 49 | 902 926 950 | 332 356 380
1481: 1 25 49 | 9 33 57 | 17 41 65
1483: 1 25 49 | 4 28 52 | 7 31 55
1487: 1 25 49 | 121 145 169 | 241 265 289
1489: 1 25 49 | 16 40 64 | 31 55 79
1493: 1 25 49 | 271 295 319 | 541 565 589
1499: 1 25 49 | 121 145 169 | 241 265 289
1511: 1 25 49 | 784 808 832 | 56 80 104
1523: 1 25 49 | 121 145 169 | 241 265 289
1531: 1 25 49 | 4 28 52 | 7 31 55
1543: 1 25 49 | 4 28 52 | 7 31 55
1549: 1 25 49 | 625 649 673 | 1249 1273 1297
1553: 1 25 49 | 1111 1135 1159 | 668 692 716
1559: 1 25 49 | 900 924 948 | 240 264 288
1567: 1 25 49 | 676 700 724 | 1351 1375 1399
1571: 1 25 49 | 912 936 960 | 252 276 300
1579: 1 25 49 | 121 145 169 | 241 265 289
1583: 1 25 49 | 361 385 409 | 721 745 769
1597: 1 25 49 | 1107 1131 1155 | 616 640 664
1601: 1 25 49 | 289 313 337 | 577 601 625
1607: 1 25 49 | 100 124 148 | 199 223 247
1609: 1 25 49 | 841 865 889 | 72 96 120
1613: 1 25 49 | 1090 1114 1138 | 566 590 614
1619: 1 25 49 | 43 67 91 | 85 109 133
1621: 1 25 49 | 4 28 52 | 7 31 55
1627: 1 25 49 | 774 798 822 | 1547 1571 1595
1637: 1 25 49 | 36 60 84 | 71 95 119
1657: 1 25 49 | 0 24 48 | 1656 23 47
1663: 1 25 49 | 121 145 169 | 241 265 289
1667: 1 25 49 | 1155 1179 1203 | 642 666 690
1669: 1 25 49 | 289 313 337 | 577 601 625
1693: 1 25 49 | 121 145 169 | 241 265 289
1697: 1 25 49 | 1521 1545 1569 | 1344 1368 1392
1699: 1 25 49 | 841 865 889 | 1681 6 30
1709: 1 25 49 | 100 124 148 | 199 223 247
1721: 1 25 49 | 16 40 64 | 31 55 79
1723: 1 25 49 | 121 145 169 | 241 265 289
1733: 1 25 49 | 4 28 52 | 7 31 55
1741: 1 25 49 | 1089 1113 1137 | 436 460 484
1747: 1 25 49 | 196 220 244 | 391 415 439
1753: 1 25 49 | 9 33 57 | 17 41 65
1759: 1 25 49 | 900 924 948 | 40 64 88
1777: 1 25 49 | 248 272 296 | 495 519 543
1783: 1 25 49 | 9 33 57 | 17 41 65
1787: 1 25 49 | 441 465 489 | 881 905 929
1789: 1 25 49 | 64 88 112 | 127 151 175
1801: 1 25 49 | 1444 1468 1492 | 1086 1110 1134
1811: 1 25 49 | 4 28 52 | 7 31 55
1823: 1 25 49 | 841 865 889 | 1681 1705 1729
1831: 1 25 49 | 121 145 169 | 241 265 289
1847: 1 25 49 | 729 753 777 | 1457 1481 1505
1861: 1 25 49 | 121 145 169 | 241 265 289
1867: 1 25 49 | 121 145 169 | 241 265 289
1871: 1 25 49 | 65 89 113 | 129 153 177
1873: 1 25 49 | 1156 1180 1204 | 438 462 486
1877: 1 25 49 | 471 495 519 | 941 965 989
1879: 1 25 49 | 121 145 169 | 241 265 289
1889: 1 25 49 | 841 865 889 | 1681 1705 1729
1901: 1 25 49 | 4 28 52 | 7 31 55
1907: 1 25 49 | 289 313 337 | 577 601 625
1913: 1 25 49 | 961 985 1009 | 8 32 56
1931: 1 25 49 | 81 105 129 | 161 185 209
1933: 1 25 49 | 276 300 324 | 551 575 599
1949: 1 25 49 | 256 280 304 | 511 535 559
1951: 1 25 49 | 961 985 1009 | 1921 1945 18
1973: 1 25 49 | 441 465 489 | 881 905 929
1979: 1 25 49 | 4 28 52 | 7 31 55
1987: 1 25 49 | 121 145 169 | 241 265 289
1993: 1 25 49 | 256 280 304 | 511 535 559
1997: 1 25 49 | 1631 1655 1679 | 1264 1288 1312
1999: 1 25 49 | 16 40 64 | 31 55 79
2003: 1 25 49 | 483 507 531 | 965 989 1013
2011: 1 25 49 | 961 985 1009 | 1921 1945 1969
2017: 1 25 49 | 168 192 216 | 335 359 383
2027: 1 25 49 | 1156 1180 1204 | 284 308 332
2029: 1 25 49 | 289 313 337 | 577 601 625
2039: 1 25 49 | 411 435 459 | 821 845 869
2053: 1 25 49 | 4 28 52 | 7 31 55
2063: 1 25 49 | 400 424 448 | 799 823 847
2069: 1 25 49 | 1487 1511 1535 | 904 928 952
2081: 1 25 49 | 1463 1487 1511 | 844 868 892
2083: 1 25 49 | 16 40 64 | 31 55 79
2087: 1 25 49 | 2025 2049 2073 | 1962 1986 2010
2089: 1 25 49 | 576 600 624 | 1151 1175 1199
2099: 1 25 49 | 100 124 148 | 199 223 247
2111: 1 25 49 | 16 40 64 | 31 55 79
2113: 1 25 49 | 591 615 639 | 1181 1205 1229
2129: 1 25 49 | 1626 1650 1674 | 1122 1146 1170
2131: 1 25 49 | 4 28 52 | 7 31 55
2137: 1 25 49 | 289 313 337 | 577 601 625
2141: 1 25 49 | 9 33 57 | 17 41 65
2143: 1 25 49 | 256 280 304 | 511 535 559
2153: 1 25 49 | 1623 1647 1671 | 1092 1116 1140
2161: 1 25 49 | 961 985 1009 | 1921 1945 1969
2179: 1 25 49 | 121 145 169 | 241 265 289
2203: 1 25 49 | 289 313 337 | 577 601 625
2207: 1 25 49 | 1024 1048 1072 | 2047 2071 2095
2213: 1 25 49 | 1849 1873 1897 | 1484 1508 1532
2221: 1 25 49 | 961 985 1009 | 1921 1945 1969
2237: 1 25 49 | 529 553 577 | 1057 1081 1105
2239: 1 25 49 | 706 730 754 | 1411 1435 1459
2243: 1 25 49 | 1601 1625 1649 | 958 982 1006
2251: 1 25 49 | 1849 1873 1897 | 1446 1470 1494
2267: 1 25 49 | 90 114 138 | 179 203 227
2269: 1 25 49 | 121 145 169 | 241 265 289
2273: 1 25 49 | 36 60 84 | 71 95 119
2281: 1 25 49 | 0 24 48 | 2280 23 47
2287: 1 25 49 | 784 808 832 | 1567 1591 1615
2293: 1 25 49 | 400 424 448 | 799 823 847
2297: 1 25 49 | 64 88 112 | 127 151 175
2309: 1 25 49 | 169 193 217 | 337 361 385
2311: 1 25 49 | 957 981 1005 | 1913 1937 1961
2333: 1 25 49 | 529 553 577 | 1057 1081 1105
2339: 1 25 49 | 2285 2309 2333 | 2230 2254 2278
2341: 1 25 49 | 1849 1873 1897 | 1356 1380 1404
2347: 1 25 49 | 16 40 64 | 31 55 79
2351: 1 25 49 | 16 40 64 | 31 55 79
2357: 1 25 49 | 289 313 337 | 577 601 625
2371: 1 25 49 | 169 193 217 | 337 361 385
2377: 1 25 49 | 0 24 48 | 2376 23 47
2381: 1 25 49 | 20 44 68 | 39 63 87
2383: 1 25 49 | 669 693 717 | 1337 1361 1385
2389: 1 25 49 | 64 88 112 | 127 151 175
2393: 1 25 49 | 1102 1126 1150 | 2203 2227 2251
2399: 1 25 49 | 737 761 785 | 1473 1497 1521
2411: 1 25 49 | 169 193 217 | 337 361 385
2417: 1 25 49 | 900 924 948 | 1799 1823 1847
2423: 1 25 49 | 256 280 304 | 511 535 559
2437: 1 25 49 | 16 40 64 | 31 55 79
2441: 1 25 49 | 1230 1254 1278 | 18 42 66
2447: 1 25 49 | 53 77 101 | 105 129 153
2459: 1 25 49 | 529 553 577 | 1057 1081 1105
2467: 1 25 49 | 64 88 112 | 127 151 175
2473: 1 25 49 | 1225 1249 1273 | 2449 0 24
2477: 1 25 49 | 121 145 169 | 241 265 289
2503: 1 25 49 | 256 280 304 | 511 535 559
2521: 1 25 49 | 1968 1992 2016 | 1414 1438 1462
2531: 1 25 49 | 144 168 192 | 287 311 335
2539: 1 25 49 | 841 865 889 | 1681 1705 1729
2543: 1 25 49 | 484 508 532 | 967 991 1015
2549: 1 25 49 | 2209 2233 2257 | 1868 1892 1916
2551: 1 25 49 | 121 145 169 | 241 265 289
2557: 1 25 49 | 1521 1545 1569 | 484 508 532
2579: 1 25 49 | 64 88 112 | 127 151 175
2591: 1 25 49 | 747 771 795 | 1493 1517 1541
2593: 1 25 49 | 841 865 889 | 1681 1705 1729
2609: 1 25 49 | 784 808 832 | 1567 1591 1615
2617: 1 25 49 | 0 24 48 | 2616 23 47
2621: 1 25 49 | 289 313 337 | 577 601 625
2633: 1 25 49 | 225 249 273 | 449 473 497
2647: 1 25 49 | 121 145 169 | 241 265 289
2657: 1 25 49 | 1410 1434 1458 | 162 186 210
2659: 1 25 49 | 121 145 169 | 241 265 289
2663: 1 25 49 | 1764 1788 1812 | 864 888 912
2671: 1 25 49 | 169 193 217 | 337 361 385
2677: 1 25 49 | 2364 2388 2412 | 2050 2074 2098
2683: 1 25 49 | 36 60 84 | 71 95 119
2687: 1 25 49 | 4 28 52 | 7 31 55
2689: 1 25 49 | 196 220 244 | 391 415 439
2693: 1 25 49 | 169 193 217 | 337 361 385
2699: 1 25 49 | 169 193 217 | 337 361 385
2707: 1 25 49 | 64 88 112 | 127 151 175
2711: 1 25 49 | 841 865 889 | 1681 1705 1729
2713: 1 25 49 | 4 28 52 | 7 31 55
2719: 1 25 49 | 16 40 64 | 31 55 79
2729: 1 25 49 | 1627 1651 1675 | 524 548 572
2731: 1 25 49 | 121 145 169 | 241 265 289
2741: 1 25 49 | 2159 2183 2207 | 1576 1600 1624
2749: 1 25 49 | 121 145 169 | 241 265 289
2753: 1 25 49 | 159 183 207 | 317 341 365
2767: 1 25 49 | 256 280 304 | 511 535 559
2777: 1 25 49 | 36 60 84 | 71 95 119
2789: 1 25 49 | 460 484 508 | 919 943 967
2791: 1 25 49 | 196 220 244 | 391 415 439
2797: 1 25 49 | 9 33 57 | 17 41 65
2801: 1 25 49 | 799 823 847 | 1597 1621 1645
2803: 1 25 49 | 169 193 217 | 337 361 385
2819: 1 25 49 | 545 569 593 | 1089 1113 1137
2833: 1 25 49 | 441 465 489 | 881 905 929
2837: 1 25 49 | 4 28 52 | 7 31 55
2843: 1 25 49 | 16 40 64 | 31 55 79
2851: 1 25 49 | 121 145 169 | 241 265 289
2857: 1 25 49 | 4 28 52 | 7 31 55
2861: 1 25 49 | 225 249 273 | 449 473 497
2879: 1 25 49 | 16 40 64 | 31 55 79
2887: 1 25 49 | 196 220 244 | 391 415 439
2897: 1 25 49 | 121 145 169 | 241 265 289
2903: 1 25 49 | 818 842 866 | 1635 1659 1683
2909: 1 25 49 | 340 364 388 | 679 703 727
2917: 1 25 49 | 81 105 129 | 161 185 209
2927: 1 25 49 | 2610 2634 2658 | 2292 2316 2340
2939: 1 25 49 | 36 60 84 | 71 95 119
2953: 1 25 49 | 361 385 409 | 721 745 769
2957: 1 25 49 | 1804 1828 1852 | 650 674 698
2963: 1 25 49 | 144 168 192 | 287 311 335
2969: 1 25 49 | 2209 2233 2257 | 1448 1472 1496
2971: 1 25 49 | 629 653 677 | 1257 1281 1305
2999: 1 25 49 | 4 28 52 | 7 31 55
3001: 1 25 49 | 625 649 673 | 1249 1273 1297
3011: 1 25 49 | 121 145 169 | 241 265 289
3019: 1 25 49 | 784 808 832 | 1567 1591 1615
3023: 1 25 49 | 972 996 1020 | 1943 1967 1991
3037: 1 25 49 | 1024 1048 1072 | 2047 2071 2095
3041: 1 25 49 | 225 249 273 | 449 473 497
3049: 1 25 49 | 400 424 448 | 799 823 847
3061: 1 25 49 | 121 145 169 | 241 265 289
3067: 1 25 49 | 100 124 148 | 199 223 247
3079: 1 25 49 | 729 753 777 | 1457 1481 1505
3083: 1 25 49 | 441 465 489 | 881 905 929
3089: 1 25 49 | 16 40 64 | 31 55 79
3109: 1 25 49 | 81 105 129 | 161 185 209
3119: 1 25 49 | 1849 1873 1897 | 578 602 626
3121: 1 25 49 | 2704 2728 2752 | 2286 2310 2334
3137: 1 25 49 | 676 700 724 | 1351 1375 1399
3163: 1 25 49 | 2025 2049 2073 | 886 910 934
3167: 1 25 49 | 64 88 112 | 127 151 175
3169: 1 25 49 | 16 40 64 | 31 55 79
3181: 1 25 49 | 121 145 169 | 241 265 289
3187: 1 25 49 | 324 348 372 | 647 671 695
3191: 1 25 49 | 121 145 169 | 241 265 289
3203: 1 25 49 | 2025 2049 2073 | 846 870 894
3209: 1 25 49 | 625 649 673 | 1249 1273 1297
3217: 1 25 49 | 400 424 448 | 799 823 847
3221: 1 25 49 | 4 28 52 | 7 31 55
3229: 1 25 49 | 81 105 129 | 161 185 209
3251: 1 25 49 | 4 28 52 | 7 31 55
3253: 1 25 49 | 529 553 577 | 1057 1081 1105
3257: 1 25 49 | 64 88 112 | 127 151 175
3259: 1 25 49 | 222 246 270 | 443 467 491
3271: 1 25 49 | 1739 1763 1787 | 206 230 254
3299: 1 25 49 | 121 145 169 | 241 265 289
3301: 1 25 49 | 1498 1522 1546 | 2995 3019 3043
3307: 1 25 49 | 225 249 273 | 449 473 497
3313: 1 25 49 | 531 555 579 | 1061 1085 1109
3319: 1 25 49 | 1764 1788 1812 | 208 232 256
3323: 1 25 49 | 169 193 217 | 337 361 385
3329: 1 25 49 | 121 145 169 | 241 265 289
3331: 1 25 49 | 9 33 57 | 17 41 65
3343: 1 25 49 | 2916 2940 2964 | 2488 2512 2536
3347: 1 25 49 | 16 40 64 | 31 55 79
3359: 1 25 49 | 2244 2268 2292 | 1128 1152 1176
3361: 1 25 49 | 0 24 48 | 3360 23 47
3371: 1 25 49 | 289 313 337 | 577 601 625
3373: 1 25 49 | 16 40 64 | 31 55 79
3389: 1 25 49 | 4 28 52 | 7 31 55
3391: 1 25 49 | 1098 1122 1146 | 2195 2219 2243
3407: 1 25 49 | 3136 3160 3184 | 2864 2888 2912
3413: 1 25 49 | 2010 2034 2058 | 606 630 654
3433: 1 25 49 | 0 24 48 | 3432 23 47
3449: 1 25 49 | 9 33 57 | 17 41 65
3457: 1 25 49 | 2500 2524 2548 | 1542 1566 1590
3461: 1 25 49 | 484 508 532 | 967 991 1015
3463: 1 25 49 | 441 465 489 | 881 905 929
3467: 1 25 49 | 1936 1960 1984 | 404 428 452
3469: 1 25 49 | 2304 2328 2352 | 1138 1162 1186
3491: 1 25 49 | 1849 1873 1897 | 206 230 254
3499: 1 25 49 | 3031 3055 3079 | 2562 2586 2610
3511: 1 25 49 | 225 249 273 | 449 473 497
3517: 1 25 49 | 121 145 169 | 241 265 289
3527: 1 25 49 | 1764 1788 1812 | 0 24 48
3529: 1 25 49 | 315 339 363 | 629 653 677
3533: 1 25 49 | 36 60 84 | 71 95 119
3539: 1 25 49 | 1521 1545 1569 | 3041 3065 3089
3541: 1 25 49 | 3481 3505 3529 | 3420 3444 3468
3547: 1 25 49 | 16 40 64 | 31 55 79
3557: 1 25 49 | 2916 2940 2964 | 2274 2298 2322
3559: 1 25 49 | 784 808 832 | 1567 1591 1615
3571: 1 25 49 | 900 924 948 | 1799 1823 1847
3581: 1 25 49 | 3025 3049 3073 | 2468 2492 2516
3583: 1 25 49 | 841 865 889 | 1681 1705 1729
3593: 1 25 49 | 1521 1545 1569 | 3041 3065 3089
3607: 1 25 49 | 121 145 169 | 241 265 289
3613: 1 25 49 | 1156 1180 1204 | 2311 2335 2359
3617: 1 25 49 | 361 385 409 | 721 745 769
3623: 1 25 49 | 121 145 169 | 241 265 289
3631: 1 25 49 | 3249 3273 3297 | 2866 2890 2914
3637: 1 25 49 | 4 28 52 | 7 31 55
3643: 1 25 49 | 289 313 337 | 577 601 625
3659: 1 25 49 | 400 424 448 | 799 823 847
3671: 1 25 49 | 16 40 64 | 31 55 79
3673: 1 25 49 | 0 24 48 | 3672 23 47
3677: 1 25 49 | 3364 3388 3412 | 3050 3074 3098
3691: 1 25 49 | 163 187 211 | 325 349 373
3697: 1 25 49 | 1849 1873 1897 | 0 24 48
3701: 1 25 49 | 1296 1320 1344 | 2591 2615 2639
3709: 1 25 49 | 144 168 192 | 287 311 335
3719: 1 25 49 | 1521 1545 1569 | 3041 3065 3089
3727: 1 25 49 | 2116 2140 2164 | 504 528 552
3733: 1 25 49 | 121 145 169 | 241 265 289
3739: 1 25 49 | 3721 6 30 | 3702 3726 11
3761: 1 25 49 | 2809 2833 2857 | 1856 1880 1904
3767: 1 25 49 | 2304 2328 2352 | 840 864 888
3769: 1 25 49 | 121 145 169 | 241 265 289
3779: 1 25 49 | 121 145 169 | 241 265 289
3793: 1 25 49 | 169 193 217 | 337 361 385
3797: 1 25 49 | 121 145 169 | 241 265 289
3803: 1 25 49 | 81 105 129 | 161 185 209
3821: 1 25 49 | 729 753 777 | 1457 1481 1505
3823: 1 25 49 | 841 865 889 | 1681 1705 1729
